seekid,id,name,price,brand,contenttype,style,image_url
37e762c0-1889-43ac-ac9a-1b56ea1d35ac,11,床MJ01-03,0,法诗兰,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/37e762c0-1889-43ac-ac9a-1b56ea1d35ac/iso.jpg
395c20d1-18f1-4a7a-89c5-6cbb35ce7bd4,12,床OF28T8+OFCS28,3604,欧瑞家具,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/395c20d1-18f1-4a7a-89c5-6cbb35ce7bd4/iso.jpg
41b02855-982a-46fd-b825-911c1b271cfb,13,床,0,爱丽舍宫,bed/king-size bed,北欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/41b02855-982a-46fd-b825-911c1b271cfb/iso.jpg
41f78128-7e23-4043-ab66-8aae413b4cca,14,D3201-1,44118,罗曼迪卡,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/41f78128-7e23-4043-ab66-8aae413b4cca/iso.jpg
44b2117c-4341-47b9-8502-a07124a15f6f,15,床 M6A009,8592,皇朝板式,bed/king-size bed,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/44b2117c-4341-47b9-8502-a07124a15f6f/iso.jpg
4598c0db-bfc8-4964-a95c-f939575c4e45,16,HL0113_18床,0,皇朝家私,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4598c0db-bfc8-4964-a95c-f939575c4e45/iso.jpg
4d3fd08b-cade-40f6-8255-056f872b7311,17,圣雷斯,0,爱依瑞斯,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4d3fd08b-cade-40f6-8255-056f872b7311/iso.jpg
4e3c894a-d717-4750-ab00-b3980fc61dbe,18,FH0111_18L_博古鸳鸯低箱床,0,皇朝家私,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4e3c894a-d717-4750-ab00-b3980fc61dbe/iso.jpg
54051092-0194-4c3e-8a18-54d906554d6c,19,强力_床头C41-1870,824,强力,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/54051092-0194-4c3e-8a18-54d906554d6c/iso.jpg
5ca35522-b1ba-4cda-a918-eea81ae404ea,20,非同_雅典娜双人床,17560,非同,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/5ca35522-b1ba-4cda-a918-eea81ae404ea/iso.jpg
632f4ef3-07d2-4d9a-bb61-516444ab1897,21,汉堡软床,0,Lattoflex,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/632f4ef3-07d2-4d9a-bb61-516444ab1897/iso.jpg
6aa584f9-34c9-4c73-ac68-282aca46b49a,22,床 HE-A09B,0,华师傅,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/6aa584f9-34c9-4c73-ac68-282aca46b49a/iso.jpg
6cf576a1-59d5-4f61-bfad-ad025028a537,23,床箱C1-33D1820_3,5502,飞美,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/6cf576a1-59d5-4f61-bfad-ad025028a537/iso.jpg
72921135-eb75-4b12-9cc9-68097c2c39e3,24,床HB108,0,华意空间,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/72921135-eb75-4b12-9cc9-68097c2c39e3/iso.jpg
74c6523f-15b6-4d54-bffb-901b3f42c5bc,25,御玺 贵妇椅,0,御玺,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/74c6523f-15b6-4d54-bffb-901b3f42c5bc/iso.jpg
747ecb1b-16f2-47d9-a097-1e5f34f94d2d,26,御玺 贵妃床,0,御玺,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/747ecb1b-16f2-47d9-a097-1e5f34f94d2d/iso.jpg
7e49977d-0cdf-4082-bae0-2c7f6ff70dc3,27,床 HE-A06,6996,华师傅,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/7e49977d-0cdf-4082-bae0-2c7f6ff70dc3/iso.jpg
82075d30-1ffc-4875-976b-37ba0170f418,28,塞纳枫情_双人床A9,8719,塞纳风情,bed/king-size bed,新古典,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/82075d30-1ffc-4875-976b-37ba0170f418/iso.jpg
8c94fc0b-1c98-4b19-8c11-1705ed07651c,29,明式双人床,20346,世代相传,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/8c94fc0b-1c98-4b19-8c11-1705ed07651c/iso.jpg
8d41d21e-e4b0-40d7-bd2e-ea5a6df1fde0,30,床  尊悦-7,0,法诗兰,bed/king-size bed,北欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/8d41d21e-e4b0-40d7-bd2e-ea5a6df1fde0/iso.jpg
90f546cc-9e39-4cbb-80bd-b69ee53f2265,31,床 HE-A07B,980,华师傅,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/90f546cc-9e39-4cbb-80bd-b69ee53f2265/iso.jpg
99713c01-8051-4f9c-8909-5d59d0f9e8ee,32,非同_罗马假日,34400,非同,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/99713c01-8051-4f9c-8909-5d59d0f9e8ee/iso.jpg
9bf2b5c6-d83b-4049-b851-1c7b16238740,33,花鸟如意床高箱,19160,名匠木坊,bed/king-size bed,明清古典,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/9bf2b5c6-d83b-4049-b851-1c7b16238740/iso.jpg
9f58c93d-b6f1-464c-9da0-31f094cb5296,34,榻928,8404,泰诺,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/9f58c93d-b6f1-464c-9da0-31f094cb5296/iso.jpg
a32ab440-0a36-4675-b0fa-3f1e69eadbb0,35,直足罗汉床 YL001,10250,瑞尔,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/a32ab440-0a36-4675-b0fa-3f1e69eadbb0/iso.jpg
a761d6c4-6f0b-4b9f-9edf-381e5f3944cc,36,R01-02A床,31920,普罗达,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/a761d6c4-6f0b-4b9f-9edf-381e5f3944cc/iso.jpg
aa733b93-1a23-45af-8759-48bde37b3409,37,CHESTER LAURENCE双人床,272600,Turri,bed/king-size bed,简欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/aa733b93-1a23-45af-8759-48bde37b3409/iso.jpg
ae763400-3169-4e7e-9259-5be3b70b5607,38,黎曼世家_V-113床,0,黎曼世家,bed/king-size bed,新古典,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/ae763400-3169-4e7e-9259-5be3b70b5607/iso.jpg
b282313a-9aee-43da-9b68-d4f6e3397df4,39,床 尊悦-1,0,法诗兰,bed/king-size bed,北欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/b282313a-9aee-43da-9b68-d4f6e3397df4/iso.jpg
b58f883b-0055-4400-adbe-1969ddf78b60,40,素壳床,0,Lattoflex,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/b58f883b-0055-4400-adbe-1969ddf78b60/iso.jpg
bb22f11f-26da-44c4-8413-5ca517faf067,41,格兰,0,爱依瑞斯,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/bb22f11f-26da-44c4-8413-5ca517faf067/iso.jpg
c3368aef-50b8-43df-b2ff-93c3a071357a,42,双人高箱床M1B,13480,恒友,bed/king-size bed,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/c3368aef-50b8-43df-b2ff-93c3a071357a/iso.jpg
